bp,beatmap_id,beatmapset_id,artist,title,version,mods,pp,accuracy,star_rating_api,od,ar,cs,hp,bpm,length_s,objects,osu_file,osu_md5,file_has_beatmapid_header,official_star_rating,official_aim_difficulty,official_speed_difficulty,official_slider_factor,official_speed_note_count,official_max_combo,official_aim_slider_count,official_aim_strain_count,official_speed_strain_count
1,5119288,2364885,Manticora,Humiliation Supreme,Extreme,HDHR,563.893,0.9893673577884105,6.59691,9.2,9.4,3.9,5.1,189.99,152,1254,osu/5119288.osu,f564dd5aaebca0b5b47c8c692d3fd201,true,7.398550033569336,3.689460039138794,3.293950080871582,0.9962630271911621,1006.4500122070312,1675,62.48619842529297,241.40499877929688,591.7849731445312
2,4746232,2162554,VINXIS,Sidetracked Day,Distraction,HD,541.607,0.9956111476848803,6.85626,9.4,9.5,3.8,5.8,188,334,1519,osu/4746232.osu,dfeae0133e32266cf1205df69fd79a4e,true,7.277569770812988,3.467449903488159,3.2547600269317627,0.9993240237236023,670.5380249023438,2106,107.1259994506836,203.66299438476562,446.35400390625
3,5258382,2401111,Rhapsody,Power of the Dragonflame,Uri's Extreme,HD,539.235,0.9815485428522159,7.08728,9.2,9.5,4,5,190,260,1933,osu/5258382.osu,d30b27a061524147fe6cad8bfecd471f,true,7.501880168914795,3.541290044784546,3.412169933319092,0.99959397315979,1542.280029296875,2429,89.68309783935547,124.68000030517578,897.7860107421875
4,5675454,2554421,Pythia,Heartless (Cut Ver.),Maaadbot's Extreme,HDHR,523.51,0.9877762106252939,6.68061,9.6,9.6,3.5,4.8,190,90,709,osu/5675454.osu,e82935102561a79f289b6d6e9111b782,true,7.4339399337768555,3.872380018234253,3.1108899116516113,0.9945170283317566,490.8760070800781,935,46.99660110473633,124.74600219726562,236.16099548339844
5,4994500,2294086,Laser Imouto,Prismatix,kowari's Extreme,HD,520.608,0.9905174190888476,6.89195,9.4,9.5,3.8,5,200,249,1617,osu/4994500.osu,d0a78fbe6b720f832457fa4c2eff067b,true,7.294859886169434,3.3238699436187744,3.447279930114746,0.985755980014801,1018.8699951171875,2180,95.04550170898438,160.83200073242188,520.2369995117188
6,4961220,2179269,SHIKI,Pure Ruby (Game Ver.),Collab Another,HDHR,519.481,0.9846639603067208,6.51286,9.4,9.6,4.2,6,178,117,739,osu/4961220.osu,55a3bc730325ef00109874c4843a3644,true,7.455289840698242,3.9405899047851562,2.971450090408325,0.9991909861564636,479.6000061035156,897,46.37310028076172,129.3489990234375,318.65399169921875
7,5138461,2378237,Cityyy,Vibrant Springs,Tranquility,HDHR,518.242,0.985077519379845,6.55293,9,9.5,4,5,181,133,860,osu/5138461.osu,8f63f1f5f5c2e64c05d2454b35cea326,true,7.3755598068237305,3.8066599369049072,3.098949909210205,0.9994810223579407,720.9420166015625,1092,46.01240158081055,115.13099670410156,392.697998046875
8,5211222,2401111,Rhapsody,Power of the Dragonflame,shoyeu's Expert,HDHR,511.225,0.9800286584273687,6.45904,9,9.3,4,5,190,260,1861,osu/5211222.osu,fe0d339b918af27573bde55392bb391b,true,7.207119941711426,3.3939099311828613,3.3786098957061768,0.9956669807434082,1486.6600341796875,2365,90.96289825439453,160.29100036621094,821.9970092773438
9,4628575,2091512,Mutsuhiko Izumi,Snow Goose,Sytho's Extra,HDHR,508.16,0.9917355371900827,6.58034,9,9.4,3.9,5,200,97,726,osu/4628575.osu,355af2567e260f01300ce9d08a67d56a,true,7.263239860534668,3.5506699085235596,3.3227999210357666,0.9935950040817261,467.0780029296875,969,85.24109649658203,203.89500427246094,254.16799926757812
10,4847819,2275012,kawaii vocaloid,Sukitte 100-kai Itte (feat. Hatsune Miku),sukisukisukisukisukisukisukisukisukisuki,HDHR,506.174,0.9710960960960962,6.5977,9,9.4,4.5,4,177,54,444,osu/4847819.osu,7adba14645d8bcabbc9d55d1d160bfd6,true,7.7118000984191895,4.161180019378662,2.918100118637085,0.9996200203895569,373.4930114746094,479,31.44860076904297,159.7469940185547,265.24200439453125
